Sr.No,Round ,Institute ,Program ,Stream ,Seat Type ,Quota ,Category ,Opening Rank ,Closing Rank 
1,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,OBC - A,103,751
2,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,OBC - B,86,94
3,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,EWS,456,1437
4,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,Open,24,85
5,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,Open (PwD),1404,1404
6,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,SC,105,323
7,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,ST,1239,1624
8,Round 1,"Academy of Technology, Adisaptagram, Hooghly",MCA,MCA,WBJEE Seats,All India,Open,187,2498
9,Round 1,"Academy of Technology, Adisaptagram, Hooghly",MCA,MCA,WBJEE Seats,Home State,EWS,3053,3053
10,Round 1,"Asansol Engineering College, Asansol, Burdwan",MCA,MCA,WBJEE Seats,All India,Open,208,4087
11,Round 1,"B.P. Poddar Institute of Management & Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,371,1610
12,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",MCA,MCA,WBJEE Seats,All India,Open,247,3639
13,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",MCA,MCA,WBJEE Seats,Home State,SC,3775,4039
14,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",MCA,MCA,WBJEE Seats,Home State,ST,3761,3761
15,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",MCA,MCA,WBJEE Seats,All India,Open,384,4095
16,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",MCA,MCA,WBJEE Seats,All India,Open,1424,4070
17,Round 1,"Future Institute of Engineering & Management, Sonarpur",MCA,MCA,WBJEE Seats,All India,Open,258,3756
18,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",MCA,MCA,WBJEE Seats,All India,Open,486,2629
19,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",MCA,MCA,WBJEE Seats,All India,Open,229,2309
20,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",MCA,MCA,WBJEE Seats,Home State,EWS,2627,2627
21,Round 1,"Heritage Institute of Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,31,389
22,Round 1,"Heritage Institute of Technology, Kolkata",MCA,MCA,WBJEE Seats,Home State,EWS,2262,2759
23,Round 1,"Institute of Science and Technology, Paschim Medinipur",MCA,MCA,WBJEE Seats,All India,Open,604,4073
24,Round 1,"Jis College of Engineering, Kalyani, Nadia",MCA,MCA,WBJEE Seats,All India,Open,466,3113
25,Round 1,"Jis College of Engineering, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,SC,2624,3917
26,Round 1,"Jis College of Engineering, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,ST,3889,3889
27,Round 1,"Meghnad Saha Institute of Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,198,3707
28,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,420,1306
29,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,132,4071
30,Round 1,"Nshm Knowledge Campus, Durgapur Group of Institutions",MCA,MCA,WBJEE Seats,All India,Open,904,3925
31,Round 1,"Rcc Institute of Information Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,276,1346
32,Round 1,"Rcc Institute of Information Technology, Kolkata",MCA,MCA,WBJEE Seats,Home State,OBC - B,1400,1822
33,Round 1,"Rcc Institute of Information Technology, Kolkata",MCA,MCA,WBJEE Seats,Home State,SC,1443,4091
34,Round 1,"Rcc Institute of Information Technology, Kolkata",MCA,MCA,WBJEE Seats,Home State,ST,2681,2681
35,Round 1,"Regent Education and Research Foundation, Barasat, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,145,4112
36,Round 1,"Regent Education and Research Foundation, Barasat, Kolkata",MCA,MCA,WBJEE Seats,Home State,OBC - B,689,689
37,Round 1,"Seacom Engineering College, Sankrail, Howrah",MCA,MCA,WBJEE Seats,All India,Open,613,3456
38,Round 1,"Siliguri Institute of Technology, Siliguri",MCA,MCA,WBJEE Seats,All India,Open,745,4086
39,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",MCA,MCA,WBJEE Seats,All India,Open,2648,4082
40,Round 1,"Techno International New Town, Rajarhat, New Town",MCA,MCA,WBJEE Seats,All India,Open,59,3999
41,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",MCA,MCA,WBJEE Seats,All India,Open,112,674
42,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",MCA,MCA,WBJEE Seats,Home State,EWS,2767,2767
43,Round 1,"Techno India University, Salt Lake",MCA,MCA,WBJEE Seats,All India,Open,270,2709
44,Round 1,"Techno India University, Salt Lake",MCA,MCA,WBJEE Seats,Home State,EWS,3540,3540
45,Round 1,Jadavpur University,MCA,MCA,WBJEE Seats,All India,Open,1,29
